,,,own→talker,,,,own→target,,,
target,role,own_role,WEREWOLF,POSSESSED,SEER,VILLAGER,WEREWOLF,POSSESSED,SEER,VILLAGER
own,WEREWOLF,WEREWOLF,-100,0,5,5,,,,
own,WEREWOLF,POSSESSED,1,-100,3,5,,,,
own,WEREWOLF,SEER,3,5,-100,0,,,,
own,WEREWOLF,VILLAGER,3,5,0,0,,,,
own,POSSESSED,WEREWOLF,-100,3,0,0,,,,
own,POSSESSED,POSSESSED,0,-100,3,3,,,,
own,POSSESSED,SEER,1,1,-100,0,,,,
own,POSSESSED,VILLAGER,1,1,0,0,,,,
own,SEER,WEREWOLF,-100,5,-100,3,,,,
own,SEER,POSSESSED,,-100,-100,3,,,,
own,SEER,SEER,-10,-10,-100,5,,,,
own,SEER,VILLAGER,0,0,-100,0,,,,
own,VILLAGER,WEREWOLF,-100,5,1,3,,,,
own,VILLAGER,POSSESSED,3,-100,1,3,,,,
own,VILLAGER,SEER,0,0,-100,0,,,,
own,VILLAGER,VILLAGER,0,0,5,3,,,,
else,WEREWOLF,WEREWOLF,-100,5,1,1,-100,3,3,1
else,WEREWOLF,POSSESSED,3,-100,0,0,3,-100,1,0
else,WEREWOLF,SEER,3,0,-100,0,3,1,-100,0
else,WEREWOLF,VILLAGER,3,0,0,0,3,1,1,0
else,POSSESSED,WEREWOLF,-100,1,3,3,-100,3,1,0
else,POSSESSED,POSSESSED,0,-100,3,3,1,-100,1,0
else,POSSESSED,SEER,0,0,-100,3,1,3,-100,0
else,POSSESSED,VILLAGER,0,0,3,3,1,3,1,0
else,SEER,WEREWOLF,-100,0,-5,3,-100,1,3,0
else,SEER,POSSESSED,0,-100,-5,5,1,-100,3,0
else,SEER,SEER,0,0,-100,3,1,1,-100,0
else,SEER,VILLAGER,0,0,-5,3,1,1,3,0
else,VILLAGER,WEREWOLF,-100,0,1,1,-100,0,0,3
else,VILLAGER,POSSESSED,0,-100,1,1,1,-100,0,3
else,VILLAGER,SEER,0,0,-100,1,1,0,-100,3
else,VILLAGER,VILLAGER,0,0,1,1,1,0,0,3
